datetime,open,high,low,close,volume
9/5/2024 17:05,"226,30","226,30","226,30","226,30","60,00"
9/5/2024 16:00,"226,10","226,65","226,10","226,30","119,00"
9/5/2024 15:00,"226,00","226,30","226,00","226,30","24,00"
9/5/2024 14:00,"226,05","226,30","225,95","226,00","115,00"
9/5/2024 13:00,"226,25","226,40","226,00","226,10","52,00"
9/5/2024 12:00,"226,65","226,70","225,50","226,25","284,00"
9/5/2024 11:00,"226,40","227,00","226,35","226,55","77,00"
9/5/2024 10:00,"226,35","226,80","226,30","226,50","90,00"
9/5/2024 9:00,"226,80","227,05","226,40","226,40","117,00"
8/5/2024 17:05,"226,80","227,00","226,80","227,00","6,00"
8/5/2024 16:00,"227,15","227,45","226,80","226,80","79,00"
8/5/2024 15:00,"227,00","227,05","226,90","227,05","14,00"
8/5/2024 14:00,"227,70","227,70","227,00","227,10","204,00"
8/5/2024 13:00,"227,30","227,90","227,25","227,70","101,00"
8/5/2024 12:00,"227,10","227,45","227,05","227,25","38,00"
8/5/2024 11:00,"227,05","227,55","227,00","227,00","102,00"
8/5/2024 10:00,"226,55","227,25","226,50","227,00","178,00"
8/5/2024 9:00,"228,15","228,60","225,85","226,55","390,00"
7/5/2024 17:05,"228,30","228,60","228,30","228,60","6,00"
7/5/2024 16:00,"228,05","228,30","228,00","228,15","45,00"
7/5/2024 15:00,"228,15","228,15","228,00","228,10","38,00"
7/5/2024 14:00,"228,10","228,30","228,05","228,25","61,00"
7/5/2024 13:00,"228,00","228,30","227,95","228,10","153,00"
7/5/2024 12:00,"228,00","228,10","228,00","228,00","94,00"
7/5/2024 11:00,"228,05","228,15","227,80","228,05","332,00"
7/5/2024 10:00,"228,60","228,60","228,05","228,05","195,00"
7/5/2024 9:00,"228,50","228,60","228,20","228,60","72,00"
6/5/2024 17:05,"228,30","229,00","228,30","229,00","3,00"
6/5/2024 16:00,"228,80","229,00","228,60","228,80","147,00"
6/5/2024 15:00,"228,70","228,75","228,50","228,60","78,00"
6/5/2024 14:00,"229,00","229,10","228,65","228,65","23,00"
6/5/2024 13:00,"228,80","229,00","228,80","228,80","22,00"
6/5/2024 12:00,"228,70","228,85","228,70","228,80","29,00"
6/5/2024 11:00,"229,10","229,60","228,30","228,65","229,00"
6/5/2024 10:00,"229,30","229,30","229,00","229,25","77,00"
6/5/2024 9:00,"230,75","231,05","229,25","229,50","92,00"
3/5/2024 17:05,"229,55","229,55","229,50","229,50","14,00"
3/5/2024 16:00,"229,85","230,00","229,45","229,85","161,00"
3/5/2024 15:00,"229,90","229,90","229,60","229,70","37,00"
3/5/2024 14:00,"229,65","230,00","229,65","229,85","56,00"
3/5/2024 13:00,"229,70","229,75","229,65","229,65","11,00"
3/5/2024 12:00,"229,70","229,80","229,70","229,70","13,00"
3/5/2024 11:00,"229,75","229,80","229,60","229,70","45,00"
3/5/2024 10:00,"229,60","229,75","229,60","229,75","10,00"
3/5/2024 9:00,"230,10","230,50","229,55","229,85","31,00"
2/5/2024 17:05,"229,65","229,65","229,65","229,65","2,00"
2/5/2024 16:00,"229,70","230,05","229,70","229,80","61,00"
2/5/2024 15:00,"229,60","230,00","229,50","229,70","139,00"
2/5/2024 14:00,"230,10","230,10","229,50","229,60","188,00"
2/5/2024 13:00,"230,00","230,20","230,00","230,10","95,00"
2/5/2024 12:00,"230,75","230,75","230,00","230,00","160,00"
2/5/2024 11:00,"231,00","231,20","230,55","230,80","49,00"
2/5/2024 10:00,"230,35","231,00","230,25","230,95","55,00"
2/5/2024 9:00,"230,30","230,75","229,85","230,20","62,00"
30/04/2024 17:05,"230,50","230,50","230,05","230,05","5,00"
30/04/2024 16:00,"230,65","231,00","230,50","230,55","375,00"
30/04/2024 15:00,"230,50","230,75","230,50","230,60","25,00"
30/04/2024 14:00,"230,80","230,80","230,25","230,50","227,00"
30/04/2024 13:00,"231,20","231,20","230,65","230,75","41,00"
